County,State,"FIPS Code",Population,Area,Density
"Autauga County",Alabama,01001,59095,594,99
"Baldwin County",Alabama,01003,239294,1589,151
"Barbour County",Alabama,01005,24964,884,28
"Bibb County",Alabama,01007,22477,622,36
"Blount County",Alabama,01009,59041,644,92
"Bullock County",Alabama,01011,10320,622,17
"Butler County",Alabama,01013,18884,776,24
"Calhoun County",Alabama,01015,115972,605,192
"Chambers County",Alabama,01017,34541,596,58
"Cherokee County",Alabama,01019,24996,553,45
"Chilton County",Alabama,01021,45274,692,65
"Choctaw County",Alabama,01023,12533,913,14
"Clarke County",Alabama,01025,22760,1238,18
"Clay County",Alabama,01027,14190,603,24
"Cleburne County",Alabama,01029,15103,560,27
"Coffee County",Alabama,01031,54174,678,80
"Colbert County",Alabama,01033,57474,592,97
"Conecuh County",Alabama,01035,11328,850,13
"Coosa County",Alabama,01037,10450,650,16
"Covington County",Alabama,01039,37524,1030,36
"Crenshaw County",Alabama,01041,13083,608,22
"Cullman County",Alabama,01043,89496,734,122
"Dale County",Alabama,01045,49342,561,88
"Dallas County",Alabama,01047,37619,978,38
"DeKalb County",Alabama,01049,71813,777,92
"Elmore County",Alabama,01051,89304,618,145
"Escambia County",Alabama,01053,36699,945,39
"Etowah County",Alabama,01055,103162,534,193
"Fayette County",Alabama,01057,16148,627,26
"Franklin County",Alabama,01059,32013,633,51
"Geneva County",Alabama,01061,26701,574,47
"Greene County",Alabama,01063,7629,647,12
"Hale County",Alabama,01065,14754,643,23
"Henry County",Alabama,01067,17459,561,31
"Houston County",Alabama,01069,107458,579,186
"Jackson County",Alabama,01071,52773,1077,49
"Jefferson County",Alabama,01073,667820,1111,601
"Lamar County",Alabama,01075,13689,604,23
"Lauderdale County",Alabama,01077,94043,667,141
"Lawrence County",Alabama,01079,33090,690,48
"Lee County",Alabama,01081,177218,607,292
"Limestone County",Alabama,01083,107517,559,192
"Lowndes County",Alabama,01085,9965,715,14
"Macon County",Alabama,01087,18895,608,31
"Madison County",Alabama,01089,395211,801,493
"Marengo County",Alabama,01091,18996,976,19
"Marion County",Alabama,01093,29246,742,39
"Marshall County",Alabama,01095,98228,565,174
"Mobile County",Alabama,01097,413073,1229,336
"Monroe County",Alabama,01099,19648,1025,19
"Montgomery County",Alabama,01101,227434,784,290
"Morgan County",Alabama,01103,123668,579,214
"Perry County",Alabama,01105,8355,719,12
"Pickens County",Alabama,01107,18801,881,21
"Pike County",Alabama,01109,32991,672,49
"Randolph County",Alabama,01111,21989,580,38
"Russell County",Alabama,01113,58722,641,92
"St. Clair County",Alabama,01115,92748,631,147
"Shelby County",Alabama,01117,226902,784,289
"Sumter County",Alabama,01119,12164,903,13
"Talladega County",Alabama,01121,81524,736,111
"Tallapoosa County",Alabama,01123,41023,716,57
"Tuscaloosa County",Alabama,01125,227007,1321,172
"Walker County",Alabama,01127,64818,791,82
"Washington County",Alabama,01129,15147,1080,14
"Wilcox County",Alabama,01131,10446,888,12
"Winston County",Alabama,01133,23652,612,39
"Aleutians East Borough",Alaska,02013,3398,6985,0
Anchorage,Alaska,02020,288121,1707,169
"Bristol Bay Borough",Alaska,02060,838,482,2
"Denali Borough",Alaska,02068,1593,12641,0
"Fairbanks North Star Borough",Alaska,02090,95593,7335,13
"Haines Borough",Alaska,02100,2071,2343,1
Juneau,Alaska,02110,31973,2704,12
"Kenai Peninsula Borough",Alaska,02122,59767,16017,4
"Ketchikan Gateway Borough",Alaska,02130,13754,4857,3
"Kodiak Island Borough",Alaska,02150,12787,6689,2
